#type,robotime,epoch,p_x,p_y,yaw
estimate,43569.233,1557087524766,0.0,0.0,0.0
estimate,43569.434,1557087524967,0.0,0.0,0.0
estimate,43569.633,1557087525166,0.0,0.0,0.0
estimate,43569.833,1557087525366,0.0,0.0,0.0
estimate,43570.032,1557087525565,0.0,0.0,0.0
estimate,43570.233,1557087525766,0.0,0.0,0.0
estimate,43570.436,1557087525972,0.0,0.0,0.0
estimate,43570.63,1557087526163,0.0,0.0,0.0
estimate,43570.82,1557087526353,0.0,0.0,0.0
estimate,43571.032,1557087526565,0.0,0.0,0.0
estimate,43571.232,1557087526765,0.0,0.0,0.0
estimate,43571.432,1557087526966,0.0,0.0,0.0
estimate,43571.634,1557087527167,0.0,0.0,0.0
estimate,43571.832,1557087527365,0.0,0.0,0.0
estimate,43572.031,1557087527565,0.0,0.0,0.0
estimate,43572.232,1557087527765,0.0,0.0,0.0
estimate,43572.434,1557087527967,0.0,0.0,0.0
estimate,43572.632,1557087528165,0.0,0.0,0.0
estimate,43572.835,1557087528369,0.0,0.0,0.0
estimate,43573.03,1557087528563,0.0,0.0,0.0
estimate,43573.232,1557087528765,0.0,0.0,0.0
estimate,43573.437,1557087528970,0.0,0.0,0.0
estimate,43573.636,1557087529169,0.0,0.0,0.0
estimate,43573.834,1557087529367,-0.011,-0.0,0.006
estimate,43574.034,1557087529567,-0.028,-0.01,0.003
estimate,43574.238,1557087529771,-0.049,-0.0,-0.005
estimate,43574.44,1557087529973,-0.069,-0.0,-0.01
estimate,43574.632,1557087530165,-0.09,0.0,-0.011
estimate,43574.835,1557087530368,-0.112,0.0,-0.008
estimate,43575.033,1557087530566,-0.132,0.001,-0.009
estimate,43575.236,1557087530769,-0.152,0.001,-0.009
estimate,43575.435,1557087530969,-0.166,0.001,-0.004
estimate,43575.624,1557087531157,-0.169,0.0,0.081
estimate,43575.835,1557087531368,-0.164,0.001,0.25
estimate,43576.024,1557087531557,-0.168,0.002,0.404
estimate,43576.221,1557087531754,-0.169,-0.002,0.56
estimate,43576.423,1557087531956,-0.162,0.001,0.718
estimate,43576.62,1557087532153,-0.172,0.003,0.881
estimate,43576.818,1557087532351,-0.167,0.002,1.023
estimate,43577.022,1557087532555,-0.167,-0.002,1.182
estimate,43577.221,1557087532754,-0.171,0.001,1.335
estimate,43577.425,1557087532958,-0.17,0.0,1.488
estimate,43577.627,1557087533160,-0.165,-0.01,1.569
estimate,43577.819,1557087533352,-0.17,-0.002,1.571
estimate,43578.022,1557087533555,0.0,0.0,-0.0
estimate,43578.202,1557087533735,0.0,0.0,1.537
estimate,43578.418,1557087533951,0.0,0.0,1.537
estimate,43578.613,1557087534146,0.0,0.0,1.537
estimate,43578.82,1557087534353,-0.005,-0.002,1.537
estimate,43579.021,1557087534554,-0.0,-0.003,1.538
estimate,43579.215,1557087534748,-0.0,-0.004,1.517
estimate,43579.422,1557087534955,0.003,-0.007,1.372
estimate,43579.616,1557087535149,0.001,-0.012,1.202
estimate,43579.826,1557087535359,0.0,-0.008,1.052
estimate,43580.021,1557087535554,0.003,-0.004,0.903
estimate,43580.215,1557087535748,0.004,0.008,0.75
estimate,43580.426,1557087535959,-0.005,-0.015,0.583
estimate,43580.617,1557087536150,-0.01,-0.006,0.435
estimate,43580.815,1557087536348,0.001,-0.011,0.265
estimate,43581.013,1557087536546,0.003,-0.004,0.128
estimate,43581.218,1557087536751,0.005,0.003,-0.027
estimate,43581.422,1557087536955,0.013,-0.007,-0.193
estimate,43581.623,1557087537156,0.002,-0.01,-0.35
estimate,43581.817,1557087537350,0.004,0.005,-0.492
estimate,43582.019,1557087537552,0.001,-0.015,-0.66
estimate,43582.219,1557087537752,0.002,-0.015,-0.811
estimate,43582.419,1557087537952,0.006,-0.006,-0.971
estimate,43582.609,1557087538142,-0.002,-0.012,-1.118
estimate,43582.809,1557087538342,0.011,0.003,-1.271
estimate,43583.02,1557087538553,0.0,-0.015,-1.438
estimate,43583.198,1557087538731,0.011,-0.021,-1.58
estimate,43583.395,1557087538928,0.006,-0.019,-1.574
estimate,43583.587,1557087539120,0.004,-0.017,-1.28
estimate,43583.782,1557087539315,0.013,-0.028,-1.007
estimate,43583.984,1557087539517,0.026,-0.038,-0.931
estimate,43584.201,1557087539734,0.016,-0.033,-0.931
estimate,43584.389,1557087539923,0.023,-0.032,-1.01
estimate,43584.589,1557087540122,0.01,-0.025,-0.839
estimate,43584.783,1557087540316,0.008,-0.029,-0.532
estimate,43584.981,1557087540515,0.014,-0.037,-0.231
estimate,43585.198,1557087540731,0.002,-0.026,0.098
estimate,43585.4,1557087540933,0.006,-0.029,0.411
estimate,43585.616,1557087541149,0.012,-0.027,0.493
estimate,43585.801,1557087541334,0.03,-0.016,0.665
estimate,43585.998,1557087541531,0.021,-0.016,0.992
estimate,43586.223,1557087541756,0.033,-0.019,1.3
estimate,43586.401,1557087541934,0.033,-0.021,1.615
estimate,43586.599,1557087542132,0.033,0.001,1.893
estimate,43586.798,1557087542331,0.021,-0.005,2.061
estimate,43587.003,1557087542536,0.018,0.006,2.085
estimate,43587.203,1557087542736,0.001,0.039,1.912
estimate,43587.398,1557087542932,0.002,0.054,1.73
estimate,43587.6,1557087543133,0.005,0.079,1.557
estimate,43587.799,1557087543332,0.008,0.105,1.393
estimate,43588.0,1557087543533,0.005,0.125,1.232
estimate,43588.199,1557087543732,0.017,0.142,1.066
estimate,43588.396,1557087543929,0.026,0.163,0.897
estimate,43588.59,1557087544123,0.036,0.18,0.739
estimate,43588.79,1557087544323,0.047,0.18,0.826
estimate,43588.972,1557087544505,0.043,0.194,1.044
estimate,43589.198,1557087544731,0.051,0.185,1.258
estimate,43589.397,1557087544930,0.045,0.176,1.397
estimate,43589.599,1557087545132,0.048,0.2,1.542
estimate,43589.799,1557087545333,0.051,0.219,1.43
estimate,43590.001,1557087545534,0.05,0.245,1.249
estimate,43590.2,1557087545733,0.052,0.244,1.071
estimate,43590.4,1557087545934,0.078,0.268,0.904
estimate,43590.595,1557087546128,0.087,0.286,0.752
estimate,43590.778,1557087546311,0.107,0.298,0.585
estimate,43590.967,1557087546499,0.125,0.317,0.422
estimate,43591.164,1557087546697,0.149,0.329,0.262
estimate,43591.366,1557087546899,0.156,0.324,0.124
estimate,43591.565,1557087547098,0.164,0.328,0.269
estimate,43591.767,1557087547301,0.166,0.331,0.53
estimate,43591.981,1557087547514,0.178,0.34,0.484
estimate,43592.189,1557087547722,0.21,0.352,0.308
estimate,43592.382,1557087547915,0.214,0.361,0.152
estimate,43592.586,1557087548119,0.226,0.363,0.092
estimate,43592.781,1557087548314,0.232,0.362,0.008
estimate,43592.987,1557087548520,0.247,0.342,-0.08
estimate,43593.177,1557087548710,0.258,0.364,-0.155
estimate,43593.376,1557087548909,0.272,0.35,-0.216
estimate,43593.572,1557087549106,0.26,0.346,-0.046
