#x,y,orient,time,time_rel,RSS,noise,frameLen,channelFreq,type,fragNum
0.0,0.0,0.0,1557091936.887408000,0.045333000,-73,-34,298,2412,8,0
0.0,0.0,0.0,1557091936.989867000,0.147792000,-74,-34,298,2412,8,0
0.0,0.0,0.0,1557091937.092361000,0.250286000,-70,-34,298,2412,8,0
0.0,0.0,0.0,1557091937.194654000,0.352579000,-71,-46,298,2412,8,0
0.0,0.0,0.0,1557091937.297272000,0.455197000,-71,-46,298,2412,8,0
0.0,0.0,0.0,1557091937.400367000,0.558292000,-72,-46,298,2412,8,0
0.0,0.0,0.0,1557091937.501909000,0.659834000,-72,-46,298,2412,8,0
0.0,0.0,0.0,1557091937.604299000,0.762224000,-71,-46,298,2412,8,0
0.0,0.0,0.0,1557091937.706622000,0.864547000,-72,-46,298,2412,8,0
0.0,0.0,0.0,1557091937.788316000,0.946241000,-66,-46,292,2412,5,0
0.0,0.0,0.0,1557091937.791284000,0.949209000,-65,-46,292,2412,5,0
0.0,0.0,0.0,1557091937.794311000,0.952236000,-66,-46,292,2412,5,0
0.0,0.0,0.0,1557091937.797279000,0.955204000,-66,-46,292,2412,5,0
0.0,0.0,0.0,1557091937.800555000,0.958480000,-67,-46,292,2412,5,0
0.0,0.0,0.0,1557091937.809032000,0.966957000,-72,-46,298,2412,8,0
0.0,0.0,0.0,1557091937.911358000,1.069283000,-72,-46,298,2412,8,0
0.0,0.0,0.0,1557091938.013831000,1.171756000,-73,-46,298,2412,8,0
0.0,0.0,0.0,1557091938.116586000,1.274511000,-72,-46,298,2412,8,0
0.0,0.0,0.0,1557091938.218532000,1.376457000,-73,-57,298,2412,8,0
0.0,0.0,0.0,1557091938.321026000,1.478951000,-73,-57,298,2412,8,0
0.0,0.0,0.0,1557091938.423347000,1.581272000,-73,-57,298,2412,8,0
0.0,0.0,0.0,1557091938.525783000,1.683708000,-73,-57,298,2412,8,0
