#x,y,time,time_rel,RSS,noise,frameLen,channelFreq,type,fragNum
0.0,0.0,1557091936.924822000,0.082747000,-71,-34,299,2412,8,0
0.0,0.0,1557091937.027275000,0.185200000,-73,-34,299,2412,8,0
0.0,0.0,1557091937.076978000,0.234903000,-72,-34,128,2412,32,0
0.0,0.0,1557091937.129569000,0.287494000,-73,-34,299,2412,8,0
0.0,0.0,1557091937.173169000,0.331094000,-72,-34,293,2412,32,0
0.0,0.0,1557091937.231980000,0.389905000,-75,-46,299,2412,8,0
0.0,0.0,1557091937.334328000,0.492253000,-74,-46,299,2412,8,0
0.0,0.0,1557091937.436790000,0.594715000,-75,-46,299,2412,8,0
0.0,0.0,1557091937.539201000,0.697126000,-74,-46,299,2412,8,0
0.0,0.0,1557091937.641637000,0.799562000,-73,-46,299,2412,8,0
0.0,0.0,1557091937.712317000,0.870242000,-75,-46,293,2412,5,0
0.0,0.0,1557091937.744092000,0.902017000,-73,-46,299,2412,8,0
0.0,0.0,1557091937.846342000,1.004267000,-74,-46,299,2412,8,0
0.0,0.0,1557091937.948769000,1.106694000,-73,-46,299,2412,8,0
0.0,0.0,1557091938.051177000,1.209102000,-74,-46,299,2412,8,0
0.0,0.0,1557091938.153896000,1.311821000,-73,-46,299,2412,8,0
0.0,0.0,1557091938.257064000,1.414989000,-76,-57,299,2412,8,0
0.0,0.0,1557091938.358364000,1.516289000,-74,-57,299,2412,8,0
0.0,0.0,1557091938.460771000,1.618696000,-74,-57,299,2412,8,0
0.0,0.0,1557091938.563562000,1.721487000,-75,-57,299,2412,8,0
0.0,0.0,1557091938.665508000,1.823433000,-75,-57,299,2412,8,0
0.0,0.0,1557091938.767908000,1.925833000,-74,-57,299,2412,8,0
0.0,0.0,1557091938.870351000,2.028276000,-72,-57,299,2412,8,0
0.0,0.0,1557091938.972830000,2.130755000,-74,-57,299,2412,8,0
0.0,0.0,1557091939.087160000,2.245085000,-74,-57,299,2412,8,0
0.0,0.0,1557091939.177543000,2.335468000,-73,-57,299,2412,8,0
0.0,0.0,1557091939.279922000,2.437847000,-73,-69,299,2412,8,0
0.0,0.0,1557091939.382379000,2.540304000,-73,-69,299,2412,8,0
0.0,0.0,1557091939.484686000,2.642611000,-73,-69,299,2412,8,0
0.0,0.0,1557091939.587139000,2.745064000,-73,-69,299,2412,8,0
0.0,0.0,1557091939.689531000,2.847456000,-73,-69,299,2412,8,0
0.0,0.0,1557091939.791979000,2.949904000,-73,-69,299,2412,8,0
0.0,0.0,1557091939.894811000,3.052736000,-73,-69,299,2412,8,0
0.0,0.0,1557091939.996807000,3.154732000,-73,-69,299,2412,8,0
0.0,0.0,1557091940.099084000,3.257009000,-73,-69,299,2412,8,0
0.0,0.0,1557091940.202087000,3.360012000,-73,-80,299,2412,8,0
0.0,0.0,1557091940.233031000,3.390956000,-73,-80,293,2412,32,0
0.0,0.0,1557091940.304176000,3.462101000,-74,-80,299,2412,8,0
0.0,0.0,1557091940.406954000,3.564879000,-74,-80,299,2412,8,0
0.0,0.0,1557091940.509357000,3.667282000,-75,-80,299,2412,8,0
0.0,0.0,1557091940.622003000,3.779928000,-76,-80,299,2412,8,0
0.0,0.0,1557091940.713526000,3.871451000,-76,-80,299,2412,8,0
0.0,0.0,1557091940.816037000,3.973962000,-75,-80,299,2412,8,0
0.0,0.0,1557091940.914466000,4.072391000,-79,-80,293,2412,5,0
0.0,0.0,1557091940.917037000,4.074962000,-78,-80,293,2412,5,0
0.0,0.0,1557091940.952851000,4.110776000,-78,-80,293,2412,5,0
0.0,0.0,1557091940.993802000,4.151727000,-79,-80,293,2412,5,0
0.0,0.0,1557091940.996326000,4.154251000,-79,-80,293,2412,5,0
0.0,0.0,1557091940.998859000,4.156784000,-79,-80,293,2412,5,0
0.0,0.0,1557091941.001416000,4.159341000,-80,-80,293,2412,5,0
0.0,0.0,1557091941.007392000,4.165317000,-79,-80,293,2412,5,0
0.0,0.0,1557091941.024425000,4.182350000,-75,-80,299,2412,8,0
0.0,0.0,1557091941.123953000,4.281878000,-75,-80,299,2412,8,0
0.0,0.0,1557091941.226175000,4.384100000,-75,-92,299,2412,8,0
0.0,0.0,1557091941.327999000,4.485924000,-75,-92,299,2412,8,0
0.0,0.0,1557091941.430427000,4.588352000,-76,-92,299,2412,8,0
0.0,0.0,1557091941.533014000,4.690939000,-76,-92,299,2412,8,0
0.0,0.0,1557091941.635541000,4.793466000,-76,-92,299,2412,8,0
0.0,0.0,1557091941.737926000,4.895851000,-76,-92,299,2412,8,0
0.0,0.0,1557091941.839990000,4.997915000,-76,-92,299,2412,8,0
0.0,0.0,1557091941.942468000,5.100393000,-74,-92,299,2412,8,0
0.0,0.0,1557091942.044872000,5.202797000,-75,-92,299,2412,8,0
0.0,0.0,1557091942.147327000,5.305252000,-75,-92,299,2412,8,0
0.0,0.0,1557091942.249719000,5.407644000,-75,-92,299,2412,8,0
0.0,0.0,1557091942.352400000,5.510325000,-73,-92,299,2412,8,0
0.0,0.0,1557091942.454395000,5.612320000,-74,-92,299,2412,8,0
0.0,0.0,1557091942.556796000,5.714721000,-73,-92,299,2412,8,0
0.0,0.0,1557091942.659288000,5.817213000,-75,-92,299,2412,8,0
0.0,0.0,1557091942.761828000,5.919753000,-72,-92,299,2412,8,0
0.0,0.0,1557091942.864102000,6.022027000,-72,-92,299,2412,8,0
0.0,0.0,1557091942.966596000,6.124521000,-70,-92,299,2412,8,0
0.0,0.0,1557091943.068842000,6.226767000,-72,-92,299,2412,8,0
0.0,0.0,1557091943.171177000,6.329102000,-70,-92,299,2412,8,0
0.0,0.0,1557091943.277189000,6.435114000,-73,-92,299,2412,8,0
0.0,0.0,1557091943.293171000,6.451096000,-72,-92,293,2412,32,0
0.0,0.0,1557091943.375949000,6.533874000,-71,-92,299,2412,8,0
0.0,0.0,1557091943.478773000,6.636698000,-71,-92,299,2412,8,0
0.0,0.0,1557091943.580854000,6.738779000,-71,-92,299,2412,8,0
0.0,0.0,1557091943.683269000,6.841194000,-69,-92,299,2412,8,0
0.0,0.0,1557091943.786806000,6.944731000,-73,-92,299,2412,8,0
0.0,0.0,1557091943.888158000,7.046083000,-72,-92,299,2412,8,0
0.0,0.0,1557091943.990554000,7.148479000,-68,-92,299,2412,8,0
0.0,0.0,1557091944.092911000,7.250836000,-69,-92,299,2412,8,0
0.0,0.0,1557091944.195364000,7.353289000,-70,-92,299,2412,8,0
0.0,0.0,1557091944.297711000,7.455636000,-70,-91,299,2412,8,0
0.0,0.0,1557091944.400150000,7.558075000,-69,-91,299,2412,8,0
