#x,y,time,time_rel,RSS,noise,frameLen,channelFreq,type,fragNum
0.0,0.0,1557091936.901382000,0.059307000,-51,-34,183,2412,8,0
0.0,0.0,1557091937.003719000,0.161644000,-52,-34,183,2412,8,0
0.0,0.0,1557091937.108292000,0.266217000,-52,-34,183,2412,8,0
0.0,0.0,1557091937.208565000,0.366490000,-51,-46,183,2412,8,0
0.0,0.0,1557091937.310988000,0.468913000,-51,-46,183,2412,8,0
0.0,0.0,1557091937.413328000,0.571253000,-50,-46,183,2412,8,0
0.0,0.0,1557091937.515735000,0.673660000,-53,-46,183,2412,8,0
0.0,0.0,1557091937.619645000,0.777570000,-56,-46,183,2412,8,0
0.0,0.0,1557091937.721335000,0.879260000,-51,-46,183,2412,8,0
0.0,0.0,1557091937.822907000,0.980832000,-48,-46,183,2412,8,0
0.0,0.0,1557091937.887666000,1.045591000,-54,-46,177,2412,5,0
0.0,0.0,1557091937.889015000,1.046940000,-54,-46,177,2412,5,0
0.0,0.0,1557091937.891902000,1.049827000,-48,-46,177,2412,5,0
0.0,0.0,1557091937.893569000,1.051494000,-48,-46,177,2412,5,0
0.0,0.0,1557091937.895413000,1.053338000,-48,-46,177,2412,5,0
0.0,0.0,1557091937.901116000,1.059041000,-48,-46,177,2412,5,0
0.0,0.0,1557091937.914537000,1.072462000,-57,-46,177,2412,5,0
0.0,0.0,1557091937.929759000,1.087684000,-57,-46,183,2412,8,0
0.0,0.0,1557091938.027739000,1.185664000,-49,-46,183,2412,8,0
0.0,0.0,1557091938.130308000,1.288233000,-49,-46,183,2412,8,0
0.0,0.0,1557091938.232462000,1.390387000,-49,-57,183,2412,8,0
0.0,0.0,1557091938.437379000,1.595304000,-48,-57,183,2412,8,0
0.0,0.0,1557091938.539691000,1.697616000,-60,-57,183,2412,8,0
0.0,0.0,1557091938.621098000,1.779023000,-58,-57,262,2412,40,0
0.0,0.0,1557091938.621486000,1.779411000,-58,-57,262,2412,40,0
0.0,0.0,1557091938.642766000,1.800691000,-57,-57,183,2412,8,0
0.0,0.0,1557091938.744543000,1.902468000,-50,-57,183,2412,8,0
0.0,0.0,1557091938.846898000,2.004823000,-50,-57,183,2412,8,0
0.0,0.0,1557091938.952272000,2.110197000,-52,-57,183,2412,8,0
0.0,0.0,1557091939.052027000,2.209952000,-51,-57,183,2412,8,0
0.0,0.0,1557091939.154050000,2.311975000,-50,-57,183,2412,8,0
0.0,0.0,1557091939.256428000,2.414353000,-50,-69,183,2412,8,0
0.0,0.0,1557091939.358950000,2.516875000,-49,-69,183,2412,8,0
0.0,0.0,1557091939.461232000,2.619157000,-50,-69,183,2412,8,0
0.0,0.0,1557091939.563708000,2.721633000,-51,-69,183,2412,8,0
0.0,0.0,1557091939.666111000,2.824036000,-50,-69,183,2412,8,0
0.0,0.0,1557091939.768555000,2.926480000,-56,-69,183,2412,8,0
0.0,0.0,1557091939.872671000,3.030596000,-52,-69,183,2412,8,0
0.0,0.0,1557091939.973342000,3.131267000,-56,-69,183,2412,8,0
0.0,0.0,1557091940.075714000,3.233639000,-52,-69,183,2412,8,0
0.0,0.0,1557091940.178166000,3.336091000,-54,-69,183,2412,8,0
0.0,0.0,1557091940.280624000,3.438549000,-53,-80,183,2412,8,0
0.0,0.0,1557091940.383105000,3.541030000,-55,-80,183,2412,8,0
0.0,0.0,1557091940.430796000,3.588721000,-56,-80,262,2412,40,0
0.0,0.0,1557091940.431474000,3.589399000,-56,-80,262,2412,40,0
0.0,0.0,1557091940.485902000,3.643827000,-51,-80,183,2412,8,0
0.0,0.0,1557091940.590060000,3.747985000,-51,-80,183,2412,8,0
0.0,0.0,1557091940.657030000,3.814955000,-56,-80,177,2412,5,0
0.0,0.0,1557091940.660260000,3.818185000,-51,-80,177,2412,5,0
0.0,0.0,1557091940.663882000,3.821807000,-50,-80,177,2412,5,0
0.0,0.0,1557091940.674467000,3.832392000,-50,-80,177,2412,5,0
0.0,0.0,1557091940.681046000,3.838971000,-55,-80,177,2412,5,0
0.0,0.0,1557091940.686479000,3.844404000,-55,-80,177,2412,5,0
0.0,0.0,1557091940.695256000,3.853181000,-55,-80,183,2412,8,0
0.0,0.0,1557091940.696473000,3.854398000,-55,-80,177,2412,5,0
0.0,0.0,1557091940.792539000,3.950464000,-55,-80,183,2412,8,0
0.0,0.0,1557091940.895397000,4.053322000,-50,-80,183,2412,8,0
0.0,0.0,1557091940.926331000,4.084256000,-93,-80,177,2412,5,0
0.0,0.0,1557091940.930117000,4.088042000,-55,-80,177,2412,5,0
0.0,0.0,1557091941.002765000,4.160690000,-56,-80,183,2412,8,0
0.0,0.0,1557091941.004133000,4.162058000,-55,-80,177,2412,5,0
0.0,0.0,1557091941.016538000,4.174463000,-56,-80,177,2412,5,0
0.0,0.0,1557091941.018412000,4.176337000,-55,-80,177,2412,5,0
0.0,0.0,1557091941.044669000,4.202594000,-56,-80,177,2412,5,0
0.0,0.0,1557091941.050022000,4.207947000,-51,-80,177,2412,5,0
0.0,0.0,1557091941.067442000,4.225367000,-56,-80,177,2412,5,0
0.0,0.0,1557091941.100185000,4.258110000,-55,-80,183,2412,8,0
0.0,0.0,1557091941.101794000,4.259719000,-56,-80,177,2412,5,0
0.0,0.0,1557091941.202435000,4.360360000,-49,-80,183,2412,8,0
0.0,0.0,1557091941.304622000,4.462547000,-56,-92,183,2412,8,0
0.0,0.0,1557091941.409505000,4.567430000,-56,-92,183,2412,8,0
0.0,0.0,1557091941.509626000,4.667551000,-52,-92,183,2412,8,0
0.0,0.0,1557091941.616170000,4.774095000,-52,-92,183,2412,8,0
0.0,0.0,1557091941.714426000,4.872351000,-51,-92,183,2412,8,0
0.0,0.0,1557091941.816629000,4.974554000,-51,-92,183,2412,8,0
0.0,0.0,1557091941.919085000,5.077010000,-55,-92,183,2412,8,0
0.0,0.0,1557091942.023698000,5.181623000,-54,-92,183,2412,8,0
0.0,0.0,1557091942.124011000,5.281936000,-54,-92,183,2412,8,0
0.0,0.0,1557091942.226284000,5.384209000,-47,-92,183,2412,8,0
0.0,0.0,1557091942.234475000,5.392400000,-47,-92,262,2412,40,0
0.0,0.0,1557091942.328739000,5.486664000,-47,-92,183,2412,8,0
0.0,0.0,1557091942.430960000,5.588885000,-47,-92,183,2412,8,0
0.0,0.0,1557091942.533434000,5.691359000,-55,-92,183,2412,8,0
0.0,0.0,1557091942.637306000,5.795231000,-49,-92,183,2412,8,0
0.0,0.0,1557091942.738311000,5.896236000,-49,-92,183,2412,8,0
0.0,0.0,1557091942.840740000,5.998665000,-50,-92,183,2412,8,0
0.0,0.0,1557091942.943416000,6.101341000,-49,-92,183,2412,8,0
0.0,0.0,1557091943.045398000,6.203323000,-49,-92,183,2412,8,0
0.0,0.0,1557091943.148315000,6.306240000,-50,-92,183,2412,8,0
0.0,0.0,1557091943.251665000,6.409590000,-45,-92,183,2412,8,0
0.0,0.0,1557091943.329199000,6.487124000,-48,-92,177,2412,5,0
0.0,0.0,1557091943.353374000,6.511299000,-48,-92,183,2412,8,0
0.0,0.0,1557091943.354525000,6.512450000,-47,-92,177,2412,5,0
0.0,0.0,1557091943.357149000,6.515074000,-48,-92,177,2412,5,0
0.0,0.0,1557091943.362034000,6.519959000,-48,-92,177,2412,5,0
0.0,0.0,1557091943.371281000,6.529206000,-49,-92,177,2412,5,0
0.0,0.0,1557091943.388384000,6.546309000,-51,-92,177,2412,5,0
0.0,0.0,1557091943.455273000,6.613198000,-50,-92,183,2412,8,0
0.0,0.0,1557091943.458944000,6.616869000,-50,-92,177,2412,5,0
0.0,0.0,1557091943.459953000,6.617878000,-50,-92,177,2412,5,0
0.0,0.0,1557091943.462349000,6.620274000,-50,-92,177,2412,5,0
0.0,0.0,1557091943.464986000,6.622911000,-51,-92,177,2412,5,0
0.0,0.0,1557091943.467436000,6.625361000,-52,-92,177,2412,5,0
0.0,0.0,1557091943.483535000,6.641460000,-52,-92,177,2412,5,0
0.0,0.0,1557091943.488349000,6.646274000,-47,-92,177,2412,5,0
0.0,0.0,1557091943.659911000,6.817836000,-49,-92,183,2412,8,0
0.0,0.0,1557091943.762252000,6.920177000,-49,-92,183,2412,8,0
0.0,0.0,1557091943.793569000,6.951494000,-52,-92,177,2412,5,0
0.0,0.0,1557091943.795244000,6.953169000,-51,-92,177,2412,5,0
0.0,0.0,1557091943.797545000,6.955470000,-52,-92,177,2412,5,0
0.0,0.0,1557091943.799830000,6.957755000,-52,-92,177,2412,5,0
0.0,0.0,1557091943.801959000,6.959884000,-53,-92,177,2412,5,0
0.0,0.0,1557091943.804660000,6.962585000,-53,-92,177,2412,5,0
0.0,0.0,1557091943.806516000,6.964441000,-53,-92,177,2412,5,0
0.0,0.0,1557091943.865140000,7.023065000,-58,-92,183,2412,8,0
0.0,0.0,1557091943.967120000,7.125045000,-56,-92,183,2412,8,0
0.0,0.0,1557091944.045543000,7.203468000,-52,-92,262,2412,40,0
0.0,0.0,1557091944.045913000,7.203838000,-52,-92,262,2412,40,0
0.0,0.0,1557091944.046097000,7.204022000,-52,-92,262,2412,40,0
0.0,0.0,1557091944.071619000,7.229544000,-52,-92,183,2412,8,0
0.0,0.0,1557091944.171943000,7.329868000,-50,-92,183,2412,8,0
0.0,0.0,1557091944.274360000,7.432285000,-49,-91,183,2412,8,0
0.0,0.0,1557091944.376733000,7.534658000,-50,-91,183,2412,8,0
0.0,0.0,1557091944.478949000,7.636874000,-51,-91,183,2412,8,0
0.0,0.0,1557091944.581384000,7.739309000,-52,-91,183,2412,8,0
0.0,0.0,1557091944.683702000,7.841627000,-51,-91,183,2412,8,0
0.0,0.0,1557091944.786161000,7.944086000,-54,-91,183,2412,8,0
0.0,0.0,1557091944.888748000,8.046673000,-46,-91,183,2412,8,0
0.0,0.0,1557091944.992292000,8.150217000,-55,-91,183,2412,8,0
0.0,0.0,1557091945.093603000,8.251528000,-48,-91,183,2412,8,0
0.0,0.0,1557091945.196137000,8.354062000,-47,-91,183,2412,8,0
0.0,0.0,1557091945.299271000,8.457196000,-47,-91,183,2412,8,0
0.0,0.0,1557091945.400602000,8.558527000,-46,-91,183,2412,8,0
0.0,0.0,1557091945.608931000,8.766856000,-46,-91,183,2412,8,0
0.0,0.0,1557091945.707797000,8.865722000,-48,-91,183,2412,8,0
0.0,0.0,1557091945.810184000,8.968109000,-52,-91,183,2412,8,0
