#type,robotime,epoch,p_x,p_y,yaw
estimate,48066.865,1557092022398,0.0,0.0,0.0
estimate,48067.064,1557092022597,0.0,0.0,0.0
estimate,48067.264,1557092022797,0.0,0.0,0.0
estimate,48067.468,1557092023001,0.0,0.0,0.0
estimate,48067.66,1557092023193,0.0,0.0,0.0
estimate,48067.864,1557092023397,0.0,0.0,0.0
estimate,48068.063,1557092023596,0.0,0.0,0.0
estimate,48068.263,1557092023796,0.0,0.0,0.0
estimate,48068.465,1557092023998,0.0,0.0,0.0
estimate,48068.663,1557092024196,0.0,0.0,0.0
estimate,48068.862,1557092024395,0.0,0.0,0.0
estimate,48069.064,1557092024598,0.0,0.0,0.0
estimate,48069.264,1557092024797,0.0,0.0,0.0
estimate,48069.463,1557092024996,0.0,0.0,0.0
estimate,48069.663,1557092025196,0.0,0.0,0.0
estimate,48069.863,1557092025396,0.0,0.0,0.0
estimate,48070.064,1557092025597,0.0,0.0,0.0
estimate,48070.263,1557092025796,0.0,0.0,0.0
estimate,48070.469,1557092026002,0.0,0.0,0.0
estimate,48070.658,1557092026191,0.0,0.0,0.0
estimate,48070.855,1557092026388,0.0,0.0,0.0
estimate,48071.066,1557092026599,0.0,0.0,0.0
estimate,48071.263,1557092026796,0.0,0.0,0.0
estimate,48071.467,1557092027000,0.0,0.0,0.0
estimate,48071.665,1557092027198,-0.002,0.0,-0.002
estimate,48071.865,1557092027398,-0.021,0.0,-0.002
estimate,48072.067,1557092027600,-0.041,0.0,-0.003
estimate,48072.266,1557092027799,-0.061,0.005,-0.003
estimate,48072.475,1557092028008,-0.078,0.005,0.001
estimate,48072.674,1557092028207,-0.108,0.005,-0.0
estimate,48072.872,1557092028405,-0.119,0.003,-0.006
estimate,48073.07,1557092028603,-0.141,0.004,0.003
estimate,48073.27,1557092028803,-0.156,0.001,0.012
estimate,48073.454,1557092028987,-0.168,0.001,0.047
estimate,48073.656,1557092029189,-0.168,0.002,0.187
estimate,48073.85,1557092029384,-0.174,0.001,0.354
estimate,48074.065,1557092029598,-0.17,0.001,0.52
estimate,48074.25,1557092029784,-0.17,0.003,0.66
estimate,48074.468,1557092030001,-0.174,0.001,0.838
estimate,48074.656,1557092030189,-0.173,0.001,0.973
estimate,48074.871,1557092030404,-0.171,0.01,1.128
estimate,48075.056,1557092030589,-0.17,0.005,1.277
estimate,48075.255,1557092030788,-0.173,0.008,1.444
estimate,48075.457,1557092030990,-0.173,0.001,1.577
estimate,48075.657,1557092031190,-0.175,0.003,1.61
estimate,48075.848,1557092031381,-0.178,0.011,1.618
